target,alcohol,malic_acid,ash,alcalinity_of_ash,magnesium,total_phenols,flavanoids,nonflavanoid_phenols,proanthocyanins,color_intensity,hue,od280_od315_of_diluted_wines,proline
2,12.37,1.63,24.5,"24.5, magnesium = 88, total_phenols = 2.22, flavanoids = 2.45, nonflavanoid_phenols = 0.4, proanthocyanins = 1.9, color_intensity = 2.12, hue = 0.89, od280_od315_of_diluted_wines = 2.78, proline = 34",88,2.22,2.45,0.4,1.9,2.12,0.89,2.78,342
2,12.34,2.45,21.0,"21.0, magnesium = 98, total_phenols = 2.56, flavanoids = 2.11, nonflavanoid_phenols = 0.34, proanthocyanins = 1.31, color_intensity = 2.80, hue = 0.80, od280_od315_of_diluted_wines = 3.38, proline = 43",98,2.56,2.11,0.34,1.31,2.80,0.80,3.38,438
2,12.93,3.8,18.6,"18.6, magnesium = 102, total_phenols = 2.41, flavanoids = 2.41, nonflavanoid_phenols = 0.25, proanthocyanins = 1.98, color_intensity = 4.5, hue = 1.03, od280_od315_of_diluted_wines = 3.52, proline = 77",102,2.41,2.41,0.25,1.98,4.5,1.03,3.52,770
2,12.67,0.98,18.0,"18.0, magnesium = 99, total_phenols = 2.2, flavanoids = 1.94, nonflavanoid_phenols = 0.3, proanthocyanins = 1.46, color_intensity = 2.62, hue = 1.23, od280_od315_of_diluted_wines = 3.16, proline = 45",99,2.2,1.94,0.3,1.46,2.62,1.23,3.16,450
2,12.37,1.63,24.5,"24.5, magnesium = 88, total_phenols = 2.22, flavanoids = 2.45, nonflavanoid_phenols = 0.40, proanthocyanins = 1.90, color_intensity = 2.12, hue = 0.89, od280_od315_of_diluted_wines = 2.78, proline = 34",88,2.22,2.45,0.40,1.90,2.12,0.89,2.78,342
2,12.78,3.43,20.0,"20.0, magnesium = 98, total_phenols = 1.26, flavanoids = 1.03, nonflavanoid_phenols = 0.65, proanthocyanins = 2.9, color_intensity = 6.1, hue = 0.48, od280_od315_of_diluted_wines = 1.47, proline = 72",98,1.26,1.03,0.65,2.9,6.1,0.48,1.47,720
2,12.34,2.45,21.0,"21.0, magnesium = 98, total_phenols = 2.56, flavanoids = 2.11, nonflavanoid_phenols = 0.34, proanthocyanins = 1.31, color_intensity = 2.80, hue = 0.80, od280_od315_of_diluted_wines = 3.38, proline = 43",98,2.56,2.11,0.34,1.31,2.80,0.80,3.38,438
2,12.55,3.48,23.0,"23.0, magnesium = 81, total_phenols = 1.63, flavanoids = 1.79, nonflavanoid_phenols = 0.39, proanthocyanins = 1.3, color_intensity = 4.2, hue = 1.1, od280_od315_of_diluted_wines = 2.87, proline = 109",81,1.63,1.79,0.39,1.3,4.2,1.1,2.87,1095
2,12.72,1.81,18.8,"18.8, magnesium = 86, total_phenols = 2.2, flavanoids = 2.53, nonflavanoid_phenols = 0.26, proanthocyanins = 1.77, color_intensity = 3.9, hue = 1.16, od280_od315_of_diluted_wines = 3.14, proline = 71",86,2.2,2.53,0.26,1.77,3.9,1.16,3.14,714
2,12.29,3.17,18.0,"18.0, magnesium = 88.0, total_phenols = 2.85, flavanoids = 2.99, nonflavanoid_phenols = 0.45, proanthocyanins = 2.81, color_intensity = 2.3, hue = 1.42, od280_od315_of_diluted_wines = 2.83, proline = 406.",88.0,2.85,2.99,0.45,2.81,2.3,1.42,2.83,406.0
2,12.72,1.81,18.8,"18.8, magnesium = 86, total_phenols = 2.2, flavanoids = 2.53, nonflavanoid_phenols = 0.26, proanthocyanins = 1.77, color_intensity = 3.9, hue = 1.16, od280_od315_of_diluted_wines = 3.14, proline = 71",86,2.2,2.53,0.26,1.77,3.9,1.16,3.14,714
2,12.29,1.61,20.4,"20.4, magnesium = 103.0, total_phenols = 1.10, flavanoids = 1.02, nonflavanoid_phenols = 0.37, proanthocyanins = 1.46, color_intensity = 3.05, hue = 0.906, od280_od315_of_diluted_wines = 1.82, proline = 87",103.0,1.10,1.02,0.37,1.46,3.05,0.906,1.82,870
2,12.72,1.81,18.8,"18.8, magnesium = 86.0, total_phenols = 2.20, flavanoids = 2.53, nonflavanoid_phenols = 0.26, proanthocyanins = 1.77, color_intensity = 3.9, hue = 1.16, od280_od315_of_diluted_wines = 3.14, proline = 714.",86.0,2.20,2.53,0.26,1.77,3.9,1.16,3.14,714.0
2,12.34,1.91,23.0,"23.0, magnesium = 100, total_phenols = 2.03, flavanoids = 1.51, nonflavanoid_phenols = 0.34, proanthocyanins = 1.31, color_intensity = 2.80, hue = 0.80, od280_od315_of_diluted_wines = 3.38, proline = 47",100,2.03,1.51,0.34,1.31,2.80,0.80,3.38,478
2,12.37,1.13,19.0,"19.0, magnesium = 87, total_phenols = 3.5, flavanoids = 3.1, nonflavanoid_phenols = 0.19, proanthocyanins = 1.87, color_intensity = 4.45, hue = 1.22, od280_od315_of_diluted_wines = 2.87, proline = 42",87,3.5,3.1,0.19,1.87,4.45,1.22,2.87,420
1,13.05,1.65,18.0,"18.0, magnesium = 98.0, total_phenols = 2.45, flavanoids = 2.43, nonflavanoid_phenols = 0.29, proanthocyanins = 1.44, color_intensity = 4.25, hue = 1.12, od280_od315_of_diluted_wines = 2.51, proline = 110",98.0,2.45,2.43,0.29,1.44,4.25,1.12,2.51,1105
2,12.67,0.98,18.0,"18.0, magnesium = 99.0, total_phenols = 2.2, flavanoids = 1.94, nonflavanoid_phenols = 0.3, proanthocyanins = 1.46, color_intensity = 2.62, hue = 1.23, od280_od315_of_diluted_wines = 3.16, proline = 450.",99.0,2.2,1.94,0.3,1.46,2.62,1.23,3.16,450.0
2,12.72,1.81,18.8,"18.8, magnesium = 86, total_phenols = 2.2, flavanoids = 2.53, nonflavanoid_phenols = 0.26, proanthocyanins = 1.77, color_intensity = 3.9, hue = 1.16, od280_od315_of_diluted_wines = 3.14, proline = 71",86,2.2,2.53,0.26,1.77,3.9,1.16,3.14,714
2,13.08,3.9,21.5,"21.5, magnesium = 113, total_phenols = 1.41, flavanoids = 1.39, nonflavanoid_phenols = 0.34, proanthocyanins = 1.14, color_intensity = 9.40, hue = 0.57, od280_od315_of_diluted_wines = 1.33, proline = 55",113,1.41,1.39,0.34,1.14,9.40,0.57,1.33,550
2,12.37,1.63,24.5,"24.5, magnesium = 88, total_phenols = 2.22, flavanoids = 2.45, nonflavanoid_phenols = 0.4, proanthocyanins = 1.9, color_intensity = 2.12, hue = 0.89, od280_od315_of_diluted_wines = 2.78, proline = 34",88,2.22,2.45,0.4,1.9,2.12,0.89,2.78,342
1,13.05,1.77,17.0,"17.0, magnesium = 107, total_phenols = 3.0, flavanoids = 3.0, nonflavanoid_phenols = 0.28, proanthocyanins = 2.03, color_intensity = 5.04, hue = 0.88, od280_od315_of_diluted_wines = 3.35, proline = 88",107,3.0,3.0,0.28,2.03,5.04,0.88,3.35,885
1,13.58,1.66,19.1,"19.1, magnesium = 106, total_phenols = 2.86, flavanoids = 3.19, nonflavanoid_phenols = 0.22, proanthocyanins = 1.95, color_intensity = 6.9, hue = 1.09, od280_od315_of_diluted_wines = 2.88, proline = 151",106,2.86,3.19,0.22,1.95,6.9,1.09,2.88,1515
2,12.72,1.81,18.8,"18.8, magnesium = 86.0, total_phenols = 2.2, flavanoids = 2.53, nonflavanoid_phenols = 0.26, proanthocyanins = 1.77, color_intensity = 3.9, hue = 1.16, od280_od315_of_diluted_wines = 3.14, proline = 714.",86.0,2.2,2.53,0.26,1.77,3.9,1.16,3.14,714.0
2,12.67,0.98,18.0,"18.0, magnesium = 99.0, total_phenols = 2.2, flavanoids = 1.94, nonflavanoid_phenols = 0.3, proanthocyanins = 1.46, color_intensity = 2.62, hue = 1.23, od280_od315_of_diluted_wines = 3.16, proline = 45",99.0,2.2,1.94,0.3,1.46,2.62,1.23,3.16,450
2,12.29,1.61,20.4,"20.4, magnesium = 103, total_phenols = 1.10, flavanoids = 1.02, nonflavanoid_phenols = 0.37, proanthocyanins = 1.46, color_intensity = 3.05, hue = 0.906, od280_od315_of_diluted_wines = 1.82, proline = 87",103,1.10,1.02,0.37,1.46,3.05,0.906,1.82,870
2,12.34,1.95,16.9,"16.9, magnesium = 102, total_phenols = 2.5, flavanoids = 2.11, nonflavanoid_phenols = 0.34, proanthocyanins = 1.31, color_intensity = 2.8, hue = 0.8, od280_od315_of_diluted_wines = 3.38, proline = 43",102,2.5,2.11,0.34,1.31,2.8,0.8,3.38,438
2,12.34,2.45,21.0,"21.0, magnesium = 98, total_phenols = 2.56, flavanoids = 2.11, nonflavanoid_phenols = 0.34, proanthocyanins = 1.31, color_intensity = 2.8, hue = 0.8, od280_od315_of_diluted_wines = 3.38, proline = 43",98,2.56,2.11,0.34,1.31,2.8,0.8,3.38,438
1,13.56,1.71,16.2,"16.2, magnesium = 117, total_phenols = 3.15, flavanoids = 3.29, nonflavanoid_phenols = 0.34, proanthocyanins = 2.34, color_intensity = 6.13, hue = 0.95, od280_od315_of_diluted_wines = 3.38, proline = 79",117,3.15,3.29,0.34,2.34,6.13,0.95,3.38,795
2,12.67,0.98,18.0,"18.0, magnesium = 99.0, total_phenols = 2.2, flavanoids = 1.94, nonflavanoid_phenols = 0.3, proanthocyanins = 1.46, color_intensity = 2.62, hue = 1.23, od280_od315_of_diluted_wines = 3.16, proline = 450.",99.0,2.2,1.94,0.3,1.46,2.62,1.23,3.16,450.0
1,13.56,1.73,20.5,"20.5, magnesium = 116, total_phenols = 2.96, flavanoids = 2.78, nonflavanoid_phenols = 0.20, proanthocyanins = 2.45, color_intensity = 6.25, hue = 0.98, od280_od315_of_diluted_wines = 3.03, proline = 112",116,2.96,2.78,0.20,2.45,6.25,0.98,3.03,1120
1,13.76,1.53,19.5,"19.5, magnesium = 132, total_phenols = 2.95, flavanoids = 2.74, nonflavanoid_phenols = 0.5, proanthocyanins = 1.35, color_intensity = 5.4, hue = 1.25, od280_od315_of_diluted_wines = 3.0, proline = 123",132,2.95,2.74,0.5,1.35,5.4,1.25,3.0,1235
1,13.58,1.66,19.1,"19.1, magnesium = 106, total_phenols = 2.86, flavanoids = 3.19, nonflavanoid_phenols = 0.22, proanthocyanins = 1.95, color_intensity = 6.9, hue = 1.09, od280_od315_of_diluted_wines = 2.88, proline = 151",106,2.86,3.19,0.22,1.95,6.9,1.09,2.88,1515
2,12.17,1.45,19.0,"19.0, magnesium = 104, total_phenols = 1.89, flavanoids = 1.75, nonflavanoid_phenols = 0.45, proanthocyanins = 1.03, color_intensity = 2.95, hue = 1.45, od280_od315_of_diluted_wines = 2.23, proline = 35",104,1.89,1.75,0.45,1.03,2.95,1.45,2.23,355
2,12.52,2.43,21.0,"21.0, magnesium = 88, total_phenols = 2.55, flavanoids = 2.27, nonflavanoid_phenols = 0.26, proanthocyanins = 1.22, color_intensity = 2.0, hue = 0.9, od280_od315_of_diluted_wines = 2.78, proline = 32",88,2.55,2.27,0.26,1.22,2.0,0.9,2.78,325
1,13.67,1.25,18.0,"18.0, magnesium = 94, total_phenols = 2.1, flavanoids = 1.79, nonflavanoid_phenols = 0.32, proanthocyanins = 0.73, color_intensity = 3.8, hue = 1.23, od280_od315_of_diluted_wines = 2.46, proline = 63",94,2.1,1.79,0.32,0.73,3.8,1.23,2.46,630
2,12.29,1.41,16.0,"16.0, magnesium = 85, total_phenols = 2.55, flavanoids = 2.5, nonflavanoid_phenols = 0.29, proanthocyanins = 1.77, color_intensity = 2.9, hue = 1.23, od280_od315_of_diluted_wines = 2.74, proline = 42",85,2.55,2.5,0.29,1.77,2.9,1.23,2.74,428
2,12.67,0.98,18.0,"18.0, magnesium = 99, total_phenols = 2.2, flavanoids = 1.94, nonflavanoid_phenols = 0.3, proanthocyanins = 1.46, color_intensity = 2.62, hue = 1.23, od280_od315_of_diluted_wines = 3.16, proline = 45",99,2.2,1.94,0.3,1.46,2.62,1.23,3.16,450
2,12.51,1.24,17.5,"17.5, magnesium = 85, total_phenols = 2.00, flavanoids = 0.58, nonflavanoid_phenols = 0.6, proanthocyanins = 1.25, color_intensity = 5.45, hue = 0.75, od280_od315_of_diluted_wines = 1.51, proline = 65",85,2.00,0.58,0.6,1.25,5.45,0.75,1.51,650
2,13.86,1.35,16.0,"16.0, magnesium = 98, total_phenols = 2.98, flavanoids = 3.15, nonflavanoid_phenols = 0.22, proanthocyanins = 1.85, color_intensity = 7.22, hue = 1.01, od280_od315_of_diluted_wines = 3.55, proline = 104",98,2.98,3.15,0.22,1.85,7.22,1.01,3.55,1045
2,12.78,1.29,20.0,"20.0, magnesium = 88, total_phenols = 1.39, flavanoids = 0.68, nonflavanoid_phenols = 0.41, proanthocyanins = 1.03, color_intensity = 9.58, hue = 0.70, od280_od315_of_diluted_wines = 1.68, proline = 61",88,1.39,0.68,0.41,1.03,9.58,0.70,1.68,617
2,12.33,0.99,14.8,"14.8, magnesium = 136, total_phenols = 1.9, flavanoids = 1.85, nonflavanoid_phenols = 0.35, proanthocyanins = 2.76, color_intensity = 3.4, hue = 1.06, od280_od315_of_diluted_wines = 2.31, proline = 75",136,1.9,1.85,0.35,2.76,3.4,1.06,2.31,750
2,12.37,1.63,24.5,"24.5, magnesium = 88, total_phenols = 2.22, flavanoids = 2.45, nonflavanoid_phenols = 0.40, proanthocyanins = 1.90, color_intensity = 2.12, hue = 0.89, od280_od315_of_diluted_wines = 2.78, proline = 34",88,2.22,2.45,0.40,1.90,2.12,0.89,2.78,342
2,12.37,1.17,19.6,"19.6, magnesium = 78, total_phenols = 2.11, flavanoids = 2.00, nonflavanoid_phenols = 0.27, proanthocyanins = 1.04, color_intensity = 4.68, hue = 1.12, od280_od315_of_diluted_wines = 3.48, proline = 51",78,2.11,2.00,0.27,1.04,4.68,1.12,3.48,510
2,12.34,2.45,21.0,"21.0, magnesium = 98, total_phenols = 2.56, flavanoids = 2.11, nonflavanoid_phenols = 0.34, proanthocyanins = 1.31, color_intensity = 2.80, hue = 0.80, od280_od315_of_diluted_wines = 3.38, proline = 43",98,2.56,2.11,0.34,1.31,2.80,0.80,3.38,438
2,12.37,1.17,19.6,"19.6, magnesium = 78, total_phenols = 2.11, flavanoids = 2.0, nonflavanoid_phenols = 0.27, proanthocyanins = 1.04, color_intensity = 4.68, hue = 1.12, od280_od315_of_diluted_wines = 3.48, proline = 51",78,2.11,2.0,0.27,1.04,4.68,1.12,3.48,510
2,12.67,0.98,18.0,"18.0, magnesium = 99.0, total_phenols = 2.2, flavanoids = 1.94, nonflavanoid_phenols = 0.3, proanthocyanins = 1.46, color_intensity = 2.62, hue = 1.23, od280_od315_of_diluted_wines = 3.16, proline = 450.",99.0,2.2,1.94,0.3,1.46,2.62,1.23,3.16,450.0
2,12.37,1.63,24.5,"24.5, magnesium = 88, total_phenols = 2.22, flavanoids = 2.45, nonflavanoid_phenols = 0.40, proanthocyanins = 1.9, color_intensity = 2.12, hue = 0.89, od280_od315_of_diluted_wines = 2.78, proline = 34",88,2.22,2.45,0.40,1.9,2.12,0.89,2.78,342
2,12.29,1.41,16.0,"16.0, magnesium = 85.0, total_phenols = 2.55, flavanoids = 2.5, nonflavanoid_phenols = 0.29, proanthocyanins = 1.77, color_intensity = 2.9, hue = 1.23, od280_od315_of_diluted_wines = 2.74, proline = 42",85.0,2.55,2.5,0.29,1.77,2.9,1.23,2.74,428
2,12.67,0.98,18.0,"18.0, magnesium = 99, total_phenols = 2.2, flavanoids = 1.94, nonflavanoid_phenols = 0.3, proanthocyanins = 1.46, color_intensity = 2.62, hue = 1.23, od280_od315_of_diluted_wines = 3.16, proline = 45",99,2.2,1.94,0.3,1.46,2.62,1.23,3.16,450
2,12.72,1.81,18.8,"18.8, magnesium = 86.0, total_phenols = 2.2, flavanoids = 2.53, nonflavanoid_phenols = 0.26, proanthocyanins = 1.77, color_intensity = 3.9, hue = 1.16, od280_od315_of_diluted_wines = 3.14, proline = 714.",86.0,2.2,2.53,0.26,1.77,3.9,1.16,3.14,714.0
2,12.37,1.63,24.5,"24.5, magnesium = 88.0, total_phenols = 2.22, flavanoids = 2.45, nonflavanoid_phenols = 0.40, proanthocyanins = 1.90, color_intensity = 2.12, hue = 0.89, od280_od315_of_diluted_wines = 2.78, proline = 34",88.0,2.22,2.45,0.40,1.90,2.12,0.89,2.78,342
1,13.82,1.75,14.0,"14.0, magnesium = 111, total_phenols = 3.88, flavanoids = 3.74, nonflavanoid_phenols = 0.32, proanthocyanins = 1.87, color_intensity = 7.05, hue = 1.01, od280_od315_of_diluted_wines = 3.26, proline = 119",111,3.88,3.74,0.32,1.87,7.05,1.01,3.26,1190
2,12.29,1.41,16.0,"16.0, magnesium = 85.0, total_phenols = 2.55, flavanoids = 2.50, nonflavanoid_phenols = 0.29, proanthocyanins = 1.77, color_intensity = 2.90, hue = 1.23, od280_od315_of_diluted_wines = 2.74, proline = 428.",85.0,2.55,2.50,0.29,1.77,2.90,1.23,2.74,428.0
2,12.34,2.45,21.0,"21.0, magnesium = 98, total_phenols = 2.56, flavanoids = 2.11, nonflavanoid_phenols = 0.34, proanthocyanins = 1.31, color_intensity = 2.80, hue = 0.80, od280_od315_of_diluted_wines = 3.38, proline = 43",98,2.56,2.11,0.34,1.31,2.80,0.80,3.38,438
2,12.67,0.98,18.0,"18.0, magnesium = 99.0, total_phenols = 2.2, flavanoids = 1.94, nonflavanoid_phenols = 0.3, proanthocyanins = 1.46, color_intensity = 2.62, hue = 1.23, od280_od315_of_diluted_wines = 3.16, proline = 450.",99.0,2.2,1.94,0.3,1.46,2.62,1.23,3.16,450.0
2,12.37,1.17,19.6,"19.6, magnesium = 78, total_phenols = 2.11, flavanoids = 2.0, nonflavanoid_phenols = 0.27, proanthocyanins = 1.04, color_intensity = 4.68, hue = 1.12, od280_od315_of_diluted_wines = 3.48, proline = 51",78,2.11,2.0,0.27,1.04,4.68,1.12,3.48,510
0,13.11,1.90,25.5,"25.5, magnesium = 116.0, total_phenols = 2.20, flavanoids = 1.28, nonflavanoid_phenols = 0.26, proanthocyanins = 1.56, color_intensity = 7.1, hue = 0.61, od280_od315_of_diluted_wines = 1.33, proline = 42",116.0,2.20,1.28,0.26,1.56,7.1,0.61,1.33,425
2,12.67,0.98,18.0,"18.0, magnesium = 99, total_phenols = 2.2, flavanoids = 1.94, nonflavanoid_phenols = 0.3, proanthocyanins = 1.46, color_intensity = 2.62, hue = 1.23, od280_od315_of_diluted_wines = 3.16, proline = 45",99,2.2,1.94,0.3,1.46,2.62,1.23,3.16,450
2,12.29,1.41,16.0,"16.0, magnesium = 85, total_phenols = 2.55, flavanoids = 2.5, nonflavanoid_phenols = 0.29, proanthocyanins = 1.77, color_intensity = 2.9, hue = 1.23, od280_od315_of_diluted_wines = 2.74, proline = 42",85,2.55,2.5,0.29,1.77,2.9,1.23,2.74,428
1,13.56,1.73,20.5,"20.5, magnesium = 116, total_phenols = 2.96, flavanoids = 2.78, nonflavanoid_phenols = 0.2, proanthocyanins = 2.45, color_intensity = 6.25, hue = 0.98, od280_od315_of_diluted_wines = 3.03, proline = 112",116,2.96,2.78,0.2,2.45,6.25,0.98,3.03,1120
1,13.56,1.71,16.2,"16.2, magnesium = 117.0, total_phenols = 3.15, flavanoids = 3.29, nonflavanoid_phenols = 0.34, proanthocyanins = 2.34, color_intensity = 6.13, hue = 0.95, od280_od315_of_diluted_wines = 3.38, proline = 795.",117.0,3.15,3.29,0.34,2.34,6.13,0.95,3.38,795.0
2,12.83,1.65,18.2,"18.2, magnesium = 94, total_phenols = 2.45, flavanoids = 2.99, nonflavanoid_phenols = 0.22, proanthocyanins = 2.29, color_intensity = 5.6, hue = 1.24, od280_od315_of_diluted_wines = 3.37, proline = 126",94,2.45,2.99,0.22,2.29,5.6,1.24,3.37,1265
2,13.23,2.48,21.5,"21.5, magnesium = 89, total_phenols = 2.3, flavanoids = 1.76, nonflavanoid_phenols = 0.42, proanthocyanins = 1.21, color_intensity = 7.52, hue = 0.88, od280_od315_of_diluted_wines = 2.46, proline = 63",89,2.3,1.76,0.42,1.21,7.52,0.88,2.46,630
2,12.85,1.60,17.8,"17.8, magnesium = 95, total_phenols = 2.48, flavanoids = 2.37, nonflavanoid_phenols = 0.26, proanthocyanins = 1.46, color_intensity = 3.93, hue = 1.09, od280_od315_of_diluted_wines = 3.63, proline = 101",95,2.48,2.37,0.26,1.46,3.93,1.09,3.63,1015
2,13.51,1.80,19.0,"19.0, magnesium = 110, total_phenols = 2.35, flavanoids = 2.53, nonflavanoid_phenols = 0.29, proanthocyanins = 1.54, color_intensity = 4.20, hue = 1.10, od280_od315_of_diluted_wines = 2.87, proline = 109",110,2.35,2.53,0.29,1.54,4.20,1.10,2.87,1095
2,12.57,1.29,20.0,"20.0, magnesium = 98, total_phenols = 1.98, flavanoids = 0.98, nonflavanoid_phenols = 0.34, proanthocyanins = 1.15, color_intensity = 4.5, hue = 1.25, od280_od315_of_diluted_wines = 2.73, proline = 93",98,1.98,0.98,0.34,1.15,4.5,1.25,2.73,932
2,12.33,0.99,14.8,"14.8, magnesium = 136.0, total_phenols = 1.90, flavanoids = 1.85, nonflavanoid_phenols = 0.35, proanthocyanins = 2.76, color_intensity = 3.4, hue = 1.06, od280_od315_of_diluted_wines = 2.31, proline = 750.",136.0,1.90,1.85,0.35,2.76,3.4,1.06,2.31,750.0
1,13.56,1.73,20.5,"20.5, magnesium = 116, total_phenols = 2.96, flavanoids = 2.78, nonflavanoid_phenols = 0.2, proanthocyanins = 2.45, color_intensity = 6.25, hue = 0.98, od280_od315_of_diluted_wines = 3.03, proline = 112",116,2.96,2.78,0.2,2.45,6.25,0.98,3.03,1120
2,12.33,0.99,14.8,"14.8, magnesium = 136, total_phenols = 1.90, flavanoids = 1.85, nonflavanoid_phenols = 0.35, proanthocyanins = 2.76, color_intensity = 3.4, hue = 1.06, od280_od315_of_diluted_wines = 2.31, proline = 75",136,1.90,1.85,0.35,2.76,3.4,1.06,2.31,750
3,13.34,0.94,17.0,"17.0, magnesium = 110, total_phenols = 2.53, flavanoids = 1.30, nonflavanoid_phenols = 0.55, proanthocyanins = 0.42, color_intensity = 3.17, hue = 1.02, od280_od315_of_diluted_wines = 1.93, proline = 75",110,2.53,1.30,0.55,0.42,3.17,1.02,1.93,750
2,12.51,1.24,17.5,"17.5, magnesium = 85.0, total_phenols = 2.0, flavanoids = 0.58, nonflavanoid_phenols = 0.6, proanthocyanins = 1.25, color_intensity = 5.45, hue = 0.75, od280_od315_of_diluted_wines = 1.51, proline = 650.",85.0,2.0,0.58,0.6,1.25,5.45,0.75,1.51,650.0
2,12.37,0.94,10.6,"10.6, magnesium = 88, total_phenols = 1.98, flavanoids = 0.57, nonflavanoid_phenols = 0.28, proanthocyanins = 0.42, color_intensity = 1.95, hue = 1.05, od280_od315_of_diluted_wines = 1.82, proline = 52",88,1.98,0.57,0.28,0.42,1.95,1.05,1.82,520
2,12.33,0.99,14.8,"14.8, magnesium = 136, total_phenols = 1.9, flavanoids = 1.85, nonflavanoid_phenols = 0.35, proanthocyanins = 2.76, color_intensity = 3.4, hue = 1.06, od280_od315_of_diluted_wines = 2.31, proline = 75",136,1.9,1.85,0.35,2.76,3.4,1.06,2.31,750
1,13.28,1.64,15.5,"15.5, magnesium = 110, total_phenols = 2.6, flavanoids = 2.68, nonflavanoid_phenols = 0.34, proanthocyanins = 1.36, color_intensity = 4.6, hue = 1.09, od280_od315_of_diluted_wines = 2.78, proline = 88",110,2.6,2.68,0.34,1.36,4.6,1.09,2.78,880
1,13.05,1.77,17.0,"17.0, magnesium = 107.0, total_phenols = 3.0, flavanoids = 3.0, nonflavanoid_phenols = 0.28, proanthocyanins = 2.03, color_intensity = 5.04, hue = 0.88, od280_od315_of_diluted_wines = 3.35, proline = 885.",107.0,3.0,3.0,0.28,2.03,5.04,0.88,3.35,885.0
1,13.51,1.80,19.0,"19.0, magnesium = 110, total_phenols = 2.35, flavanoids = 2.53, nonflavanoid_phenols = 0.29, proanthocyanins = 1.54, color_intensity = 4.20, hue = 1.10, od280_od315_of_diluted_wines = 2.87, proline = 109",110,2.35,2.53,0.29,1.54,4.20,1.10,2.87,1095
2,12.3,1.53,21.5,"21.5, magnesium = 116, total_phenols = 2.86, flavanoids = 3.19, nonflavanoid_phenols = 0.22, proanthocyanins = 1.95, color_intensity = 6.9, hue = 1.06, od280_od315_of_diluted_wines = 2.96, proline = 34",116,2.86,3.19,0.22,1.95,6.9,1.06,2.96,345
2,13.16,2.36,18.6,"18.6, magnesium = 101.0, total_phenols = 2.8, flavanoids = 3.24, nonflavanoid_phenols = 0.3, proanthocyanins = 2.81, color_intensity = 5.68, hue = 1.03, od280_od315_of_diluted_wines = 3.17, proline = 1185.",101.0,2.8,3.24,0.3,2.81,5.68,1.03,3.17,1185.0
1,13.84,2.12,19.5,"19.5, magnesium = 89.0, total_phenols = 2.6, flavanoids = 2.65, nonflavanoid_phenols = 0.3, proanthocyanins = 1.46, color_intensity = 4.92, hue = 1.04, od280_od315_of_diluted_wines = 3.12, proline = 730.",89.0,2.6,2.65,0.3,1.46,4.92,1.04,3.12,730.0
1,13.58,1.66,19.1,"19.1, magnesium = 106, total_phenols = 2.86, flavanoids = 3.19, nonflavanoid_phenols = 0.22, proanthocyanins = 1.95, color_intensity = 6.9, hue = 1.09, od280_od315_of_diluted_wines = 2.88, proline = 151",106,2.86,3.19,0.22,1.95,6.9,1.09,2.88,1515
2,12.33,0.99,14.8,"14.8, magnesium = 136.0, total_phenols = 1.90, flavanoids = 1.85, nonflavanoid_phenols = 0.35, proanthocyanins = 2.76, color_intensity = 3.4, hue = 1.06, od280_od315_of_diluted_wines = 2.31, proline = 750.",136.0,1.90,1.85,0.35,2.76,3.4,1.06,2.31,750.0
1,13.56,1.73,20.5,"20.5, magnesium = 116, total_phenols = 2.96, flavanoids = 2.78, nonflavanoid_phenols = 0.20, proanthocyanins = 2.45, color_intensity = 6.25, hue = 0.98, od280_od315_of_diluted_wines = 3.03, proline = 112",116,2.96,2.78,0.20,2.45,6.25,0.98,3.03,1120
1,13.76,1.53,19.5,"19.5, magnesium = 132, total_phenols = 2.95, flavanoids = 2.74, nonflavanoid_phenols = 0.5, proanthocyanins = 1.35, color_intensity = 5.4, hue = 1.25, od280_od315_of_diluted_wines = 3.0, proline = 123",132,2.95,2.74,0.5,1.35,5.4,1.25,3.0,1235
2,12.51,1.73,20.5,"20.5, magnesium = 85, total_phenols = 2.2, flavanoids = 1.92, nonflavanoid_phenols = 0.32, proanthocyanins = 1.48, color_intensity = 2.94, hue = 1.04, od280_od315_of_diluted_wines = 3.57, proline = 67",85,2.2,1.92,0.32,1.48,2.94,1.04,3.57,672
1,14.23,1.71,15.6,"15.6, magnesium = 127, total_phenols = 2.8, flavanoids = 3.06, nonflavanoid_phenols = 0.28, proanthocyanins = 2.29, color_intensity = 5.64, hue = 1.04, od280_od315_of_diluted_wines = 3.92, proline = 106",127,2.8,3.06,0.28,2.29,5.64,1.04,3.92,1065
2,12.37,1.63,24.5,"24.5, magnesium = 88, total_phenols = 2.22, flavanoids = 2.45, nonflavanoid_phenols = 0.4, proanthocyanins = 1.9, color_intensity = 2.12, hue = 0.89, od280_od315_of_diluted_wines = 2.78, proline = 34",88,2.22,2.45,0.4,1.9,2.12,0.89,2.78,342
2,12.72,1.75,22.5,"22.5, magnesium = 84, total_phenols = 1.38, flavanoids = 1.76, nonflavanoid_phenols = 0.48, proanthocyanins = 1.63, color_intensity = 3.3, hue = 0.88, od280_od315_of_diluted_wines = 2.42, proline = 48",84,1.38,1.76,0.48,1.63,3.3,0.88,2.42,488
2,12.67,0.98,18.0,"18.0, magnesium = 99, total_phenols = 2.2, flavanoids = 1.94, nonflavanoid_phenols = 0.3, proanthocyanins = 1.46, color_intensity = 2.62, hue = 1.23, od280_od315_of_diluted_wines = 3.16, proline = 45",99,2.2,1.94,0.3,1.46,2.62,1.23,3.16,450
